mal_id,title,type,source,episodes,aired_from,duration,rating,score,scored_by,rank,popularity,members,favorites,season,studios,producers,licensors,genres
59889,Kidou Keisatsu Patlabor: EZY,Movie,Original,8.0,2026-05-15,Unknown,,,,,10039,4308,12,,J.C.Staff,Genco|Magic Capsule,Inconnu,Comedy|Sci-Fi
59890,Gauze,Music,Original,1.0,2024-09-19,3 min,PG-13 - Teens 13 or older,,,,24881,151,0,,Inconnu,Inconnu,Inconnu,Inconnu
59891,Yao Shen Ji 6th Season,ONA,Web novel,52.0,2022-04-23,8 min per ep,PG-13 - Teens 13 or older,7.45,494.0,2436.0,14921,1094,0,,Ruo Hong Culture,Tencent Video,Inconnu,Action|Adventure|Fantasy|Romance
59892,Murder Mystery of the Dead,TV,Game,6.0,2024-11-14,23 min per ep,R - 17+ (violence & profanity),5.61,262.0,12803.0,9075,5752,24,fall,Ziine Studio,ABC Animation|Balus,Inconnu,Mystery|Supernatural|Suspense
59893,WBB Short Short Animation,ONA,Original,,2024-09-02,1 min,PG-13 - Teens 13 or older,,,21387.0,23373,199,0,,Echoes,Inconnu,Inconnu,Slice of Life
59894,Shooting Star Catch! Tiniping,TV,Original,26.0,2024-10-10,11 min per ep,PG - Children,,,20415.0,18167,533,1,fall,SAMG Entertainment,Inconnu,Inconnu,Inconnu
59895,Danbi wa Kkaebi,,Original,52.0,,11 min per ep,PG - Children,,,,29387,82,0,,Comma Studio,Inconnu,Inconnu,Adventure|Fantasy
59896,Goyang-iga Doeeossda,Movie,Original,1.0,2024-01-01,5 min,G - All Ages,,,16773.0,29233,84,0,,Comma Studio,Inconnu,Inconnu,Drama|Fantasy
59897,Kobayashi-san Chi no Maid Dragon: Samishigariya no Ryuu,Movie,Manga,1.0,2025-06-27,1 hr 45 min,PG-13 - Teens 13 or older,8.34,10743.0,285.0,3380,55607,156,,Kyoto Animation,Lantis|Pony Canyon|ABC Animation|Heart Company|Bandai Namco Music Live,Inconnu,Slice of Life|Supernatural
59898,City The Animation,TV,Manga,13.0,2025-07-07,27 min per ep,PG-13 - Teens 13 or older,8.1,27779.0,586.0,2610,86811,691,summer,Kyoto Animation,Pony Canyon|Kodansha|Rakuonsha|ABC Animation,Inconnu,Comedy
59899,Arawi Keiichi Tanpen,ONA,Original,1.0,2020-05-28,2 min,G - All Ages,5.67,337.0,12538.0,16198,783,0,,Inconnu,Inconnu,Inconnu,Comedy
59901,Ai no Yakusoku,ONA,Original,1.0,2024-09-21,16 min,PG-13 - Teens 13 or older,6.48,122.0,8128.0,18570,496,0,,Studio Harutonari,Inconnu,Inconnu,Mystery|Romance
59902,Supernova (Grimes Remix),Music,Original,1.0,2024-09-20,3 min,PG-13 - Teens 13 or older,,,,24545,161,0,,Inconnu,Inconnu,Inconnu,Avant Garde|Sci-Fi
59903,Sun and Moon,Music,Original,1.0,2024-08-05,3 min,PG-13 - Teens 13 or older,,,,29556,75,0,,Inconnu,Inconnu,Inconnu,Inconnu
59907,Sidaeyugam (2024 Remastered Ver.),Music,Original,1.0,2024-01-12,3 min,PG-13 - Teens 13 or older,,,,29554,75,0,,Inconnu,Inconnu,Inconnu,Inconnu
59908,One Piece: Yuruganu Seigi! Kaigun no Hokoritakaki Log!,TV Special,Manga,1.0,2024-09-29,23 min,PG-13 - Teens 13 or older,6.43,1162.0,8478.0,11718,2670,0,,Toei Animation,Inconnu,Inconnu,Action|Adventure|Comedy|Fantasy
59914,Kinnikuman: Kanpeki Choujin Shiso-hen Season 2,TV,Manga,11.0,2025-01-12,23 min per ep,PG-13 - Teens 13 or older,6.95,1165.0,5231.0,10498,3737,5,winter,Production I.G,Toei Animation|Pony Canyon|Shueisha|BS11|ADK Emotions,Inconnu,Comedy|Sports
59915,Shendao Dizun,ONA,Novel,48.0,2024-10-22,7 min per ep,PG-13 - Teens 13 or older,7.0,246.0,4993.0,16335,759,2,,Ruo Hong Culture,bilibili,Inconnu,Action|Adventure|Fantasy
59916,Dadao Chaotian,ONA,Web novel,16.0,2024-10-10,19 min per ep,PG-13 - Teens 13 or older,7.63,419.0,1651.0,14854,1113,15,,CG Year,bilibili,Inconnu,Action|Adventure|Fantasy
59922,Armageddon (Flava D Remix),Music,Original,1.0,2024-09-20,4 min,PG-13 - Teens 13 or older,,,,24268,169,0,,Inconnu,Inconnu,Inconnu,Action|Avant Garde
59924,Nuno Sanpo,PV,Manga,1.0,2024-09-23,1 min,G - All Ages,,,,23882,182,0,,Inconnu,Inconnu,Inconnu,Comedy
59925,Kaguya-hime (1972),Movie,Other,1.0,1972-01-01,18 min,G - All Ages,,,17693.0,23731,187,0,,Inconnu,Inconnu,Inconnu,Fantasy
59927,Wan Yu Feng Shen 2nd Season,ONA,Novel,20.0,2024-07-15,12 min per ep,PG-13 - Teens 13 or older,,,21325.0,21197,312,0,,Inconnu,Inconnu,Inconnu,Action|Fantasy
59928,Ookami to Koushinryou: Merchant Meets the Wise Wolf 2nd Season,TV,Light novel,,,Unknown,PG-13 - Teens 13 or older,,,,3827,45030,128,,Passione,Inconnu,Inconnu,Adventure|Drama|Romance|Supernatural
59930,Kaguya-hime,Movie,Other,1.0,1942-02-24,26 min,G - All Ages,,,17691.0,21409,300,0,,Inconnu,Inconnu,Inconnu,Fantasy
59933,Amashio-chan Gekijou,CM,Original,3.0,2021-07-01,15 sec per ep,G - All Ages,,,,29384,82,0,,Inconnu,Inconnu,Inconnu,Gourmet
59934,FNS 27-Jikan TV: Nihon no Rekishi Anime,TV Special,Original,1.0,2017-09-09,26 min,PG - Children,,,16547.0,21096,317,0,,Toei Animation,Inconnu,Inconnu,Inconnu
59935,Gorilla no Kami kara Kago sareta Reijou wa Ouritsu Kishidan de Kawaigarareru,TV,Web manga,12.0,2025-04-06,23 min per ep,PG-13 - Teens 13 or older,6.53,30235.0,7838.0,3050,67277,164,spring,Kachigarasu,Diomedéa|Lantis|AT-X|Docomo Anime Store|Kadokawa|Culture Entertainment|Bit grooove promotion|BS Asahi|Bandai Namco Music Live,Inconnu,Comedy|Fantasy|Romance
59936,Sunao,Music,Original,1.0,2024-09-24,4 min,G - All Ages,6.35,150.0,,21593,290,0,,Inconnu,Eallin,Inconnu,Inconnu
59937,"Peullaseutig-eulo Gadeugchan Sesang, Ili Aideul-i Majuhal Milaega Doel Su Issseubnida.",CM,Original,1.0,2021-09-13,1 min,G - All Ages,,,,27258,108,0,,Comma Studio,Inconnu,Inconnu,Inconnu
59938,Zongmen Li Chule Wo Dou Shi Wodi,ONA,Novel,,2024-10-14,7 min,PG-13 - Teens 13 or older,6.79,197.0,6243.0,16084,804,4,,Suoyi Technology,bilibili,Inconnu,Action|Fantasy
59939,Tunshi Xingkong Movie: Xueluo Dalu,ONA,Novel,1.0,2024-12-07,1 hr 33 min,PG-13 - Teens 13 or older,7.98,817.0,782.0,12563,2098,8,,Sparkly Key Animation Studio,Tencent Video,Inconnu,Action|Adventure|Fantasy|Sci-Fi
59940,Decapolice,TV,Game,,2026-01-01,Unknown,,,,,14265,1290,5,,Inconnu,Inconnu,Inconnu,Sci-Fi
59944,Poketoon (2024),ONA,Game,9.0,2024-09-18,9 min per ep,G - All Ages,7.21,803.0,3775.0,11735,2655,6,,Zexcs|Studio Colorido|Studio Nanahoshi|team Yamahitsuji|Nagomi,Inconnu,Inconnu,Adventure|Comedy
59945,Sengoku Youko: Senma Konton-hen Recap,TV Special,Manga,1.0,2024-09-26,23 min,PG-13 - Teens 13 or older,6.09,391.0,10428.0,14706,1155,0,,White Fox,Inconnu,Inconnu,Action|Adventure|Fantasy
